League;Team;Player;Player_URL;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
Premier League;Liverpool;Virgil van Dijk;https://fbref.com/en/players/e06683ca/Virgil-van-Dijk;;DF;33;35;35;3,15;35.0;3;1;4;3;0;0;4;0
Premier League;Liverpool;Mohamed Salah;https://fbref.com/en/players/e342ad68/Mohamed-Salah;;FW;32;35;35;3,101;34.5;28;18;46;19;9;9;1;0
Premier League;Liverpool;Ryan Gravenberch;https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch;;MF;22;34;34;2,921;32.5;0;4;4;0;0;0;5;0
Premier League;Liverpool;Alexis Mac Allister;https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister;;MF;26;34;30;2,575;28.6;5;5;10;5;0;0;6;0
Premier League;Liverpool;Trent Alexander-Arnold;https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold;;DF;26;31;28;2,296;25.5;3;6;9;3;0;0;5;0
Premier League;Liverpool;Ibrahima Konaté;https://fbref.com/en/players/5ed9b537/Ibrahima-Konate;;DF;25;28;27;2,32;25.8;1;2;3;1;0;0;5;0
Premier League;Liverpool;Andrew Robertson;https://fbref.com/en/players/2e4f5f03/Andrew-Robertson;;DF;31;31;27;2,308;25.6;0;0;0;0;0;0;3;1
Premier League;Liverpool;Dominik Szoboszlai;https://fbref.com/en/players/934e1968/Dominik-Szoboszlai;;MF;24;33;26;2,279;25.3;5;5;10;5;0;0;6;0
Premier League;Liverpool;Luis Díaz;https://fbref.com/en/players/4a1a9578/Luis-Diaz;;FW;28;33;26;2,225;24.7;12;5;17;12;0;0;2;0
Premier League;Liverpool;Alisson;https://fbref.com/en/players/7a2e46a8/Alisson;;GK;32;25;25;2,238;24.9;0;0;0;0;0;0;0;0
Premier League;Liverpool;Cody Gakpo;https://fbref.com/en/players/1971591f/Cody-Gakpo;;FW;26;32;20;1,717;19.1;9;3;12;9;0;0;5;0
Premier League;Liverpool;Curtis Jones;https://fbref.com/en/players/4fb9c88f/Curtis-Jones;;MF,DF;24;30;17;1,528;17.0;3;3;6;3;0;0;3;1
Premier League;Liverpool;Diogo Jota;https://fbref.com/en/players/178ae8f8/Diogo-Jota;;FW;28;24;14;1,154;12.8;6;3;9;6;0;0;2;0
Premier League;Liverpool;Caoimhín Kelleher;https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher;;GK;26;10;10;900;10.0;0;0;0;0;0;0;0;0
Premier League;Liverpool;Darwin Núñez;https://fbref.com/en/players/4d77b365/Darwin-Nunez;;FW;25;27;8;1,051;11.7;5;2;7;5;0;0;8;0
Premier League;Liverpool;Kostas Tsimikas;https://fbref.com/en/players/f315ca93/Kostas-Tsimikas;;DF;28;17;8;747;8.3;0;1;1;0;0;0;2;0
Premier League;Liverpool;Joe Gomez;https://fbref.com/en/players/7a11550b/Joe-Gomez;;DF;27;9;6;519;5.8;0;0;0;0;0;0;1;0
Premier League;Liverpool;Conor Bradley;https://fbref.com/en/players/bbd67769/Conor-Bradley;;DF;21;16;4;567;6.3;0;1;1;0;0;0;3;0
Premier League;Liverpool;Jarell Quansah;https://fbref.com/en/players/4125cb98/Jarell-Quansah;;DF;22;12;3;405;4.5;0;0;0;0;0;0;2;0
Premier League;Liverpool;Harvey Elliott;https://fbref.com/en/players/b9e1436c/Harvey-Elliott;;MF,FW;22;15;1;267;3.0;0;1;1;0;0;0;1;0
Premier League;Liverpool;Wataru Endo;https://fbref.com/en/players/c149016b/Wataru-Endo;;MF;32;18;1;237;2.6;0;0;0;0;0;0;0;0
Premier League;Liverpool;Federico Chiesa;https://fbref.com/en/players/b0f7e36c/Federico-Chiesa;;FW;27;5;0;46;0.5;0;0;0;0;0;0;0;0
Premier League;Liverpool;Vitezslav Jaros;https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros;;GK;23;1;0;12;0.1;0;0;0;0;0;0;0;0
Premier League;Liverpool;Jayden Danns;https://fbref.com/en/players/003cf4d1/Jayden-Danns;;MF;19;1;0;11;0.1;0;0;0;0;0;0;0;0
Premier League;Liverpool;Harvey Davies;https://fbref.com/en/players/fd08a24b/Harvey-Davies;;GK;21;0;0;;;;;;;;;;
Premier League;Liverpool;James McConnell;https://fbref.com/en/players/bf973eeb/James-McConnell;;MF;20;0;0;;;;;;;;;;
Premier League;Liverpool;Tyler Morton;https://fbref.com/en/players/2bc28bb9/Tyler-Morton;;MF;22;0;0;;;;;;;;;;
Premier League;Liverpool;Amara Nallo;https://fbref.com/en/players/398a24f6/Amara-Nallo;;DF;18;0;0;;;;;;;;;;
Premier League;Liverpool;Trey Nyoni;https://fbref.com/en/players/1d3b3d77/Trey-Nyoni;;MF;17;0;0;;;;;;;;;;
Premier League;Arsenal;David Raya;https://fbref.com/en/players/98ea5115/David-Raya;;GK;29;35;35;3,15;35.0;0;0;0;0;0;0;2;0
Premier League;Arsenal;William Saliba;https://fbref.com/en/players/972aeb2a/William-Saliba;;DF;24;33;33;2,904;32.3;2;0;2;2;0;0;2;1
Premier League;Arsenal;Declan Rice;https://fbref.com/en/players/1c7012b8/Declan-Rice;;MF;26;33;31;2,645;29.4;3;7;10;3;0;0;7;1
Premier League;Arsenal;Thomas Partey;https://fbref.com/en/players/529f49ab/Thomas-Partey;;MF,DF;31;32;28;2,527;28.1;4;2;6;4;0;0;4;0
Premier League;Arsenal;Gabriel Magalhães;https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes;;DF;27;28;28;2,363;26.3;3;1;4;3;0;0;4;0
Premier League;Arsenal;Jurriën Timber;https://fbref.com/en/players/41034650/Jurrien-Timber;;DF;23;30;27;2,417;26.9;1;3;4;1;0;0;7;0
Premier League;Arsenal;Leandro Trossard;https://fbref.com/en/players/38ceb24a/Leandro-Trossard;;FW;30;35;26;2,354;26.2;8;5;13;8;0;0;4;1
