Player;Team;Pos;player_score;Player_URL
Virgil van Dijk;Liverpool;DF;0.9594577298694874;https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Mohamed Salah;Liverpool;FW;1.0;https://fbref.com/en/players/e342ad68/Mohamed-Salah
Ryan Gravenberch;Liverpool;MF;0.9020220836851264;https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
Alexis Mac Allister;Liverpool;MF;0.8192463088638325;https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
Trent Alexander-Arnold;Liverpool;DF;0.9183146949857824;https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Ibrahima Konaté;Liverpool;DF;0.7786519798316404;https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
Andrew Robertson;Liverpool;DF;0.8097449712984404;https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
Dominik Szoboszlai;Liverpool;MF;0.4776226985686508;https://fbref.com/en/players/934e1968/Dominik-Szoboszlai
Luis Díaz;Liverpool;FW;0.42863578714600753;https://fbref.com/en/players/4a1a9578/Luis-Diaz
Alisson;Liverpool;GK;0.710381284437549;https://fbref.com/en/players/7a2e46a8/Alisson
Cody Gakpo;Liverpool;FW;0.3394529640161384;https://fbref.com/en/players/1971591f/Cody-Gakpo
Curtis Jones;Liverpool;MF;0.33582347716727556;https://fbref.com/en/players/4fb9c88f/Curtis-Jones
Diogo Jota;Liverpool;FW;0.2038452550641942;https://fbref.com/en/players/178ae8f8/Diogo-Jota
Caoimhín Kelleher;Liverpool;GK;0.28548763720253;https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher
Darwin Núñez;Liverpool;FW;0.18613755278992972;https://fbref.com/en/players/4d77b365/Darwin-Nunez
Kostas Tsimikas;Liverpool;DF;0.7533111871277931;https://fbref.com/en/players/f315ca93/Kostas-Tsimikas
Joe Gomez;Liverpool;DF;0.7209669480194892;https://fbref.com/en/players/7a11550b/Joe-Gomez
Conor Bradley;Liverpool;DF;0.6974867223596357;https://fbref.com/en/players/bbd67769/Conor-Bradley
Jarell Quansah;Liverpool;DF;0.7116967216360457;https://fbref.com/en/players/4125cb98/Jarell-Quansah
Harvey Elliott;Liverpool;MF;0.055446332373911694;https://fbref.com/en/players/b9e1436c/Harvey-Elliott
Wataru Endo;Liverpool;MF;0.07471274307151034;https://fbref.com/en/players/c149016b/Wataru-Endo
Federico Chiesa;Liverpool;FW;0.04080898608153299;https://fbref.com/en/players/b0f7e36c/Federico-Chiesa
Vitezslav Jaros;Liverpool;GK;0.0034954408313066453;https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros
Jayden Danns;Liverpool;MF;0.0;https://fbref.com/en/players/003cf4d1/Jayden-Danns
David Raya;Arsenal;GK;0.9999921375810249;https://fbref.com/en/players/98ea5115/David-Raya
William Saliba;Arsenal;DF;0.8661158511125038;https://fbref.com/en/players/972aeb2a/William-Saliba
Declan Rice;Arsenal;MF;0.6738677014321017;https://fbref.com/en/players/1c7012b8/Declan-Rice
Thomas Partey;Arsenal;MF;0.7752107459446596;https://fbref.com/en/players/529f49ab/Thomas-Partey
Gabriel Magalhães;Arsenal;DF;0.7948301394264321;https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes
Jurriën Timber;Arsenal;DF;0.8753860774959472;https://fbref.com/en/players/41034650/Jurrien-Timber
Leandro Trossard;Arsenal;FW;0.316344299988952;https://fbref.com/en/players/38ceb24a/Leandro-Trossard
Martin Ødegaard;Arsenal;MF;0.3551506731461939;https://fbref.com/en/players/79300479/Martin-Odegaard
Gabriel Martinelli;Arsenal;FW;0.27898782663839394;https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
Kai Havertz;Arsenal;FW;0.29562109007671405;https://fbref.com/en/players/fed7cb61/Kai-Havertz
Bukayo Saka;Arsenal;FW;0.2975479006432217;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Mikel Merino;Arsenal;MF;0.481355734878921;https://fbref.com/en/players/d080ed5e/Mikel-Merino
Myles Lewis-Skelly;Arsenal;DF;0.7451966951927452;https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly
Riccardo Calafiori;Arsenal;DF;0.7684738143851022;https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori
Ben White;Arsenal;DF;0.7764927931270417;https://fbref.com/en/players/35e413f1/Ben-White
Ethan Nwaneri;Arsenal;FW;0.20945377458481856;https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
