League,Team,Player,Recent_Matches,Recent_Minutes,Recent_Goals,Recent_Assists,Recent_Yellow_Cards,Recent_Red_Cards,Recent_xG,Recent_xA,Recent_Shots,Recent_Shots_On_Target,Recent_Passes_Completed,Recent_Tackles,Recent_Interceptions,Recent_Fouls
Premier League,Liverpool,Virgil van Dijk,35,3150,3,1,4,0,2.2,0.0,0,0,0,17,54,16
Premier League,Liverpool,Mohamed Salah,35,3101,28,18,1,0,24.0,0.0,0,0,0,11,7,22
Premier League,Liverpool,Ryan Gravenberch,34,2921,0,4,5,0,1.0,0.0,0,0,0,34,57,42
Premier League,Liverpool,Alexis Mac Allister,34,2575,5,5,6,0,2.8,0.0,0,0,0,58,22,61
Premier League,Liverpool,Trent Alexander-Arnold,31,2296,3,6,5,0,1.8,0.0,0,0,0,49,30,11
Premier League,Liverpool,Ibrahima Konaté,28,2320,1,2,5,0,1.7,0.0,0,0,0,25,12,26
Premier League,Liverpool,Andrew Robertson,31,2308,0,0,3,1,1.0,0.0,0,0,0,22,20,11
Premier League,Liverpool,Dominik Szoboszlai,33,2279,5,5,6,0,7.1,0.0,0,0,0,20,9,37
Premier League,Liverpool,Luis Díaz,33,2225,12,5,2,0,10.0,0.0,0,0,0,21,7,48
Premier League,Liverpool,Alisson,25,2238,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Liverpool,Cody Gakpo,32,1717,9,3,5,0,6.5,0.0,0,0,0,14,11,17
Premier League,Liverpool,Curtis Jones,30,1528,3,3,3,1,4.1,0.0,0,0,0,20,6,17
Premier League,Liverpool,Diogo Jota,24,1154,6,3,2,0,7.5,0.0,0,0,0,8,7,22
Premier League,Liverpool,Caoimhín Kelleher,10,900,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Liverpool,Darwin Núñez,27,1051,5,2,8,0,5.3,0.0,0,0,0,16,3,27
Premier League,Liverpool,Kostas Tsimikas,17,747,0,1,2,0,0.4,0.0,0,0,0,18,10,9
Premier League,Liverpool,Joe Gomez,9,519,0,0,1,0,0.3,0.0,0,0,0,10,7,2
Premier League,Liverpool,Conor Bradley,16,567,0,1,3,0,0.6,0.0,0,0,0,8,3,9
Premier League,Liverpool,Jarell Quansah,12,405,0,0,2,0,0.1,0.0,0,0,0,8,6,9
Premier League,Liverpool,Harvey Elliott,15,267,0,1,1,0,0.8,0.0,0,0,0,3,1,0
Premier League,Liverpool,Wataru Endo,18,237,0,0,0,0,0.0,0.0,0,0,0,8,3,14
