League,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
Premier League,1,Liverpool,35,25,7,3,81,35,+46,82,2.34,75.4,32.0,+43.4,+1.24,L 3–2 vs Fulham; W 2–1 vs West Ham; W 0–1 vs Leicester City; W 5–1 vs Tottenham; L 3–1 vs Chelsea
Premier League,2,Arsenal,35,18,13,4,64,31,+33,67,1.91,54.4,29.9,+24.5,+0.70,D 1–1 vs Everton; D 1–1 vs Brentford; W 0–4 vs Ipswich Town; D 2–2 vs Crystal Palace; L 1–2 vs Bournemouth
Premier League,3,Manchester City,35,19,7,9,67,43,+24,64,1.83,61.9,45.2,+16.6,+0.48,D 0–0 vs Manchester Utd; W 5–2 vs Crystal Palace; W 0–2 vs Everton; W 2–1 vs Aston Villa; W 1–0 vs Wolves
Premier League,4,Newcastle Utd,35,19,6,10,66,45,+21,63,1.80,59.5,43.1,+16.4,+0.47,W 4–1 vs Manchester Utd; W 5–0 vs Crystal Palace; L 4–1 vs Aston Villa; W 3–0 vs Ipswich Town; D 1–1 vs Brighton
Premier League,5,Chelsea,35,18,9,8,62,41,+21,63,1.80,65.2,44.3,+21.0,+0.60,D 0–0 vs Brentford; D 2–2 vs Ipswich Town; W 1–2 vs Fulham; W 1–0 vs Everton; W 3–1 vs Liverpool
Premier League,6,Nott'ham Forest,35,18,7,10,54,42,+12,61,1.74,41.1,45.7,-4.6,-0.13,L 2–1 vs Aston Villa; L 0–1 vs Everton; W 1–2 vs Tottenham; L 0–2 vs Brentford; D 1–1 vs Crystal Palace
Premier League,7,Aston Villa,35,17,9,9,55,49,+6,60,1.71,53.3,45.9,+7.4,+0.21,W 2–1 vs Nott'ham Forest; W 0–3 vs Southampton; W 4–1 vs Newcastle Utd; L 2–1 vs Manchester City; W 1–0 vs Fulham
Premier League,8,Bournemouth,35,14,11,10,55,42,+13,53,1.51,60.5,45.7,+14.8,+0.42,D 2–2 vs West Ham; W 1–0 vs Fulham; D 0–0 vs Crystal Palace; D 1–1 vs Manchester Utd; W 1–2 vs Arsenal
Premier League,9,Brentford,35,15,7,13,62,53,+9,52,1.49,53.7,52.5,+1.2,+0.03,D 0–0 vs Chelsea; D 1–1 vs Arsenal; W 4–2 vs Brighton; W 0–2 vs Nott'ham Forest; W 4–3 vs Manchester Utd
Premier League,10,Brighton,35,13,13,9,57,56,+1,52,1.49,52.7,49.4,+3.3,+0.10,L 2–1 vs Crystal Palace; D 2–2 vs Leicester City; L 4–2 vs Brentford; W 3–2 vs West Ham; D 1–1 vs Newcastle Utd
Premier League,11,Fulham,35,14,9,12,50,47,+3,51,1.46,46.0,40.6,+5.4,+0.15,W 3–2 vs Liverpool; L 1–0 vs Bournemouth; L 1–2 vs Chelsea; W 1–2 vs Southampton; L 1–0 vs Aston Villa
